timestamp,symbol,company,open,high,low,close,volume,dividends,stock_splits
1025461800000000000,ACC,ACC Limited,106.697,108.697,106.03,107.864,659631,0.0,0.0
1025461800000000000,AMBUJACEM,Ambuja Cements Limited,17.078,17.457,17.004,17.37,630442,0.0,0.0
1025461800000000000,ADANIENT,Adani Enterprises Limited,-0.01,-0.011,-0.01,-0.01,1080397,0.0,0.0
1025548200000000000,AMBUJACEM,Ambuja Cements Limited,17.37,17.544,17.208,17.357,1007265,0.0,0.0
1025548200000000000,ACC,ACC Limited,107.397,108.931,106.697,106.963,282660,0.0,0.0
1025548200000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.01,-0.011,1016147,0.0,0.0
1025634600000000000,ACC,ACC Limited,107.363,108.03,105.93,106.563,500553,0.0,0.0
1025634600000000000,AMBUJACEM,Ambuja Cements Limited,17.233,17.364,17.004,17.103,178065,0.0,0.0
1025634600000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.01,-0.011,980394,0.0,0.0
1025721000000000000,AMBUJACEM,Ambuja Cements Limited,17.084,17.208,17.047,17.097,199282,0.0,0.0
1025721000000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.011,-0.011,972747,0.0,0.0
1025721000000000000,ACC,ACC Limited,106.13,107.297,105.029,105.363,284181,0.0,0.0
1025807400000000000,ACC,ACC Limited,105.396,106.53,104.763,105.063,252587,0.0,0.0
1025807400000000000,AMBUJACEM,Ambuja Cements Limited,17.047,17.357,16.979,17.109,138577,0.0,0.0
1025807400000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.011,-0.011,974496,0.0,0.0
1026066600000000000,ACC,ACC Limited,105.13,109.597,105.13,109.064,587271,0.0,0.0
1026066600000000000,AMBUJACEM,Ambuja Cements Limited,17.376,17.544,16.799,17.239,216457,0.0,0.0
1026066600000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.01,-0.011,1061686,0.0,0.0
1026153000000000000,ACC,ACC Limited,109.897,110.698,107.097,107.33,986722,0.0,0.0
1026153000000000000,AMBUJACEM,Ambuja Cements Limited,17.376,17.544,16.724,16.88,1158427,0.0,0.0
1026153000000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.011,-0.011,1024719,0.0,0.0
1026239400000000000,AMBUJACEM,Ambuja Cements Limited,16.954,16.954,16.569,16.687,384892,0.0,0.0
1026239400000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.011,-0.011,946638,0.0,0.0
1026239400000000000,ACC,ACC Limited,107.463,107.964,105.896,106.897,397472,0.0,0.0
1026325800000000000,ACC,ACC Limited,107.23,107.964,105.029,105.43,332974,0.0,0.0
1026325800000000000,AMBUJACEM,Ambuja Cements Limited,16.675,16.712,16.364,16.439,1189395,0.0,0.0
1026325800000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.011,-0.011,968220,0.0,0.0
1026412200000000000,ACC,ACC Limited,106.83,106.83,105.063,105.33,148772,0.0,0.0
1026412200000000000,AMBUJACEM,Ambuja Cements Limited,16.426,16.712,16.389,16.451,1100752,0.0,0.0
1026412200000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.011,-0.011,967763,0.0,0.0
1026671400000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.01,-0.01,974157,0.0,0.0
1026671400000000000,ACC,ACC Limited,105.53,105.53,102.762,103.296,268573,0.0,0.0
1026671400000000000,AMBUJACEM,Ambuja Cements Limited,16.383,16.464,16.24,16.377,758595,0.0,0.0
1026757800000000000,ADANIENT,Adani Enterprises Limited,-0.01,-0.011,-0.01,-0.011,959138,0.0,0.0
1026757800000000000,ACC,ACC Limited,104.029,104.029,100.395,101.195,1001444,0.0,0.0
1026757800000000000,AMBUJACEM,Ambuja Cements Limited,16.551,16.551,16.228,16.296,573555,0.0,0.0
1026844200000000000,AMBUJACEM,Ambuja Cements Limited,16.302,16.364,16.191,16.271,147120,0.0,0.0
1026844200000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.01,-0.01,955902,0.0,0.0
1026844200000000000,ACC,ACC Limited,100.928,101.095,98.828,99.528,600910,0.0,0.0
1026930600000000000,AMBUJACEM,Ambuja Cements Limited,16.141,16.464,16.141,16.309,112065,0.0,0.0
1026930600000000000,ACC,ACC Limited,99.128,100.695,99.128,100.028,422730,0.0,0.0
1026930600000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.01,-0.011,958081,0.0,0.0
1027017000000000000,ACC,ACC Limited,100.595,100.695,99.761,100.161,332233,0.0,0.0
1027017000000000000,AMBUJACEM,Ambuja Cements Limited,16.216,16.302,16.011,16.091,249975,0.0,0.0
1027017000000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.01,-0.011,1022018,0.0,0.0
1027276200000000000,AMBUJACEM,Ambuja Cements Limited,16.135,16.135,15.682,15.806,341497,0.0,0.0
1027276200000000000,ADANIENT,Adani Enterprises Limited,-0.01,-0.011,-0.01,-0.01,959229,0.0,0.0
1027276200000000000,ACC,ACC Limited,100.095,100.095,94.693,95.16,585861,0.0,0.0
1027362600000000000,AMBUJACEM,Ambuja Cements Limited,15.719,16.464,15.396,15.483,457725,0.0,0.0
1027362600000000000,ADANIENT,Adani Enterprises Limited,-0.01,-0.01,-0.01,-0.01,950108,0.0,0.0
1027362600000000000,ACC,ACC Limited,95.36,96.36,93.36,94.66,490268,0.0,0.0
1027449000000000000,AMBUJACEM,Ambuja Cements Limited,15.39,15.39,15.223,15.309,298410,0.0,0.0
1027449000000000000,ADANIENT,Adani Enterprises Limited,-0.01,-0.01,-0.01,-0.01,1004507,0.0,0.0
1027449000000000000,ACC,ACC Limited,94.693,94.693,90.459,91.726,664749,0.0,0.0
1027535400000000000,ACC,ACC Limited,93.36,93.526,90.025,90.959,887369,0.0,0.0
1027535400000000000,ADANIENT,Adani Enterprises Limited,-0.01,-0.01,-0.01,-0.01,929688,0.0,0.0
1027535400000000000,AMBUJACEM,Ambuja Cements Limited,15.719,15.719,14.726,14.925,1339500,0.0,0.0
1027621800000000000,ADANIENT,Adani Enterprises Limited,-0.01,-0.01,-0.01,-0.01,934529,0.0,0.0
1027621800000000000,AMBUJACEM,Ambuja Cements Limited,14.894,15.142,14.441,14.602,1189335,0.0,0.0
1027621800000000000,ACC,ACC Limited,90.025,92.293,89.125,91.292,788742,0.0,0.0
